Number,Title_URL,Title,Author,minirating
156,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi," 4.37 avg rating — 127,350 ratings"
157,https://www.goodreads.com/book/show/12555.The_Bonesetter_s_Daughter,The Bonesetter's Daughter,Amy Tan," 3.98 avg rating — 122,901 ratings"
158,https://www.goodreads.com/book/show/6339664-hush-hush,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick," 3.96 avg rating — 589,288 ratings"
159,https://www.goodreads.com/book/show/4138.Naked,Naked,David Sedaris," 4.08 avg rating — 242,180 ratings"
160,https://www.goodreads.com/book/show/6101138-wolf-hall,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel," 3.87 avg rating — 173,029 ratings"
161,https://www.goodreads.com/book/show/26135825-fun-home,Fun Home: A Family Tragicomic,Alison Bechdel," 4.07 avg rating — 136,634 ratings"
162,https://www.goodreads.com/book/show/30183.Marked,"Marked (House of Night, #1)",P.C. Cast," 3.80 avg rating — 439,978 ratings"
163,https://www.goodreads.com/book/show/43015.A_Long_Way_Gone,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah," 4.14 avg rating — 167,836 ratings"
164,https://www.goodreads.com/book/show/16243.Case_Histories,Case Histories (Jackson Brodie #1),Kate Atkinson," 3.81 avg rating — 92,024 ratings"
165,https://www.goodreads.com/book/show/2612.The_Tipping_Point,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell," 3.98 avg rating — 704,222 ratings"
166,https://www.goodreads.com/book/show/1067.1776,1776,David McCullough," 4.07 avg rating — 192,528 ratings"
167,https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun,Half of a Yellow Sun,Chimamanda Ngozi Adichie," 4.31 avg rating — 109,564 ratings"
168,https://www.goodreads.com/book/show/2459785.In_the_Woods,"In the Woods (Dublin Murder Squad, #1)",Tana French," 3.77 avg rating — 315,939 ratings"
169,https://www.goodreads.com/book/show/32145.Stiff,Stiff: The Curious Lives of Human Cadavers,Mary Roach," 4.05 avg rating — 176,985 ratings"
170,https://www.goodreads.com/book/show/68428.The_Final_Empire,"The Final Empire (Mistborn, #1)",Brandon Sanderson," 4.44 avg rating — 419,252 ratings"
171,https://www.goodreads.com/book/show/33456.A_Dirty_Job,"A Dirty Job (Grim Reaper, #1)",Christopher Moore," 4.03 avg rating — 109,748 ratings"
172,https://www.goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics,Special Topics in Calamity Physics,Marisha Pessl," 3.70 avg rating — 43,666 ratings"
173,https://www.goodreads.com/book/show/10967.The_Fiery_Cross,"The Fiery Cross (Outlander, #5)",Diana Gabaldon," 4.23 avg rating — 177,313 ratings"
174,https://www.goodreads.com/book/show/45978.Eldest,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini," 3.99 avg rating — 366,701 ratings"
175,https://www.goodreads.com/book/show/49465.Those_Who_Save_Us,Those Who Save Us,Jenna Blum," 4.11 avg rating — 95,162 ratings"
176,https://www.goodreads.com/book/show/3273.Moloka_i,"Moloka'i (Moloka'i, #1)",Alan Brennert," 4.16 avg rating — 110,062 ratings"
177,https://www.goodreads.com/book/show/28195.Inkspell,"Inkspell (Inkworld, #2)",Cornelia Funke," 3.90 avg rating — 114,461 ratings"
178,https://www.goodreads.com/book/show/1237300.The_Shock_Doctrine,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein," 4.24 avg rating — 39,865 ratings"
179,https://www.goodreads.com/book/show/2595138-the-gargoyle,The Gargoyle,Andrew Davidson," 3.94 avg rating — 45,342 ratings"
180,https://www.goodreads.com/book/show/3407877-the-forgotten-garden,The Forgotten Garden,Kate Morton," 4.13 avg rating — 194,780 ratings"
181,https://www.goodreads.com/book/show/40200.The_Crimson_Petal_and_the_White,The Crimson Petal and the White,Michel Faber," 3.86 avg rating — 39,176 ratings"
